ID,,,Categories,Name,Lat,Long,Score,Time_spend
57,5,ร้านค้า,shop,ครัวเรือนต้นแบบ,13.913249000,100.473809000,2.7,38
58,5,ร้านค้า,shop,ขายของชำ,13.914852000,100.478913000,5,34
59,5,สถานที่สำคัญ,icon,วัดจันทร์ (เก่า),13.912764000,100.473594000,4.1,32
60,5,สถานที่สำคัญ,icon,ศูนย์พัฒนาเด็กเล็ก,13.901894900,100.475316290,2.4,23
61,5,สถานที่สำคัญ,icon,ท่าเรือวัดจันทร์,13.912764000,100.473594000,1.7,58
62,5,สถานที่สำคัญ,icon,วัดมะขามทอง (วัดร้าง),13.912764000,100.473594000,1,52
63,5,สถานที่สำคัญ,icon,สถานีอนามัยตำบลเกาะเกร็ด,13.912764000,100.473594000,4,57
64,5,สถานที่สำคัญ,icon,ท่าเรือวัดมะขามทอง,13.912764000,100.473594000,1,58
65,6,ผลิตภัณฑ์,product,เครื่องปั้นดินเผาป้าตุ๋ม,13.913074000,100.485237000,4,42
66,6,ผลิตภัณฑ์,product,ร้านมะลิ,13.913074000,100.485237000,2.1,24
67,6,ผลิตภัณฑ์,product,บ้านธาตุดิน,13.915138000,100.480363000,3.2,55
68,6,ที่พัก,homestay,ปีกไม้โฮมสเตย์,13.913697023,100.483946362,4,26
69,6,ร้านค้า,shop,บ้านลูกชุบเกาะเกร็ด,13.913386568,100.485297755,3.1,36
70,6,ร้านค้า,shop,เครื่องหอม,13.913388210,100.485224695,1.8,31
71,6,ร้านค้า,shop,บ้านเรา,13.913408957,100.485157316,4.6,58
72,6,ร้านค้า,shop,Coffee Bar,13.913542847,100.484933262,4.3,47
73,6,ร้านค้า,shop,กะลามะพร้าว,13.913596150,100.484764853,4.1,31
74,6,ร้านค้า,shop,ของจิ๋ว,13.913627539,100.484599917,1.5,52
75,6,ร้านค้า,shop,ขนมถ้วยโบราณมะพร้าวอ่อน,13.913636266,100.484543522,2.7,24
76,6,สถานที่สำคัญ,icon,วัดเสาธงทอง,13.913930000,100.483299000,2.1,25
77,6,สถานที่สำคัญ,icon,วัดไผ่ล้อม,13.912930000,100.485944000,1.9,35
78,6,สถานที่สำคัญ,icon,ตลาดหมู่ที่ 6,13.913491000,100.484938000,2.4,19
79,6,สถานที่สำคัญ,icon,ท่าเรือวัดเสาธงทอง,13.913491000,100.484938000,2.1,51
80,7,ผลิตภัณฑ์,product,เซรามิกส์,13.913462000,100.486152000,1.9,56
81,7,ผลิตภัณฑ์,product,ดอกจอก,13.913462000,100.486152000,1.2,12
82,7,ผลิตภัณฑ์,product,บ้านกุ๊กไก่,13.913310000,100.487163000,1.4,56
83,7,ผลิตภัณฑ์,product,สมุนไพรเกษตรอินทรีย์,13.913066200,100.485201900,1.4,50
84,7,ผลิตภัณฑ์,product,อัศจารย์ภาพทราย,13.913066200,100.485201900,1.1,49
85,7,ที่พัก,homestay,ชมฟ้า  โฮมสเตย์,13.913075000,100.487426000,2.2,45
86,7,ร้านค้า,shop,ร้านอาหารตามสั่ง,13.913462000,100.486152000,2.8,55
87,7,ร้านค้า,shop,ร้านพลอยซื้อ,13.913462000,100.486152000,1.1,54
88,7,ร้านค้า,shop,ร้านอาหารตามสั่ง,13.913156000,100.489704000,2.1,36
89,7,ร้านค้า,shop,ขนมหวาน (ผู้ใหญ่บ้าน),13.913462000,100.486152000,1.2,47
90,7,ร้านค้า,shop,"ทอดมันหน่อกะลา,โรตี",13.913462000,100.486152000,4.2,36
91,7,ร้านค้า,shop,ขนมพื้นบ้าน,13.913462000,100.486152000,4.7,13
92,7,ร้านค้า,shop,ของหอม,13.913462000,100.486152000,5,44
93,7,ร้านค้า,shop,ข้าวแช่ลุงแดง,13.913542000,100.486942000,2.7,44
94,7,ร้านค้า,shop,ชาหอมที,13.913275000,100.487027000,4.4,38
95,7,ร้านค้า,shop,"ทองแผ่น,ชาโคล,ถั่วเค็ม,กล้วยหอม",13.913468000,100.486667000,2.6,59
96,7,ร้านค้า,shop,ท็อฟฟี่โบราณ,13.913287000,100.487360000,4.6,44
97,7,สถานที่สำคัญ,icon,วัดปรมัยยิกาวาส,13.912616000,100.489946000,3,39
98,7,สถานที่สำคัญ,icon,บ้านโอ่งอ่าง,13.913066200,100.485201900,1,33
99,7,สถานที่สำคัญ,icon,ท่าเรือครูทิว,13.913066200,100.485201900,4.2,17
100,7,สถานที่สำคัญ,icon,โรงเรียนวัดปรมัยยิกาวาส,13.913066200,100.485201900,2.9,10
